Author	DOB	DOB_WIP	POB	POB_WIP	DOD	DOD_WIP	POD	POD_WIP	Link	identifier	givenName	familyName	alternateNames	occupation	birthPlace	birthPlace_WIP	birthDate	birthDate_WIP	deathPlace	deathPlace_WIP	deathDate	deathDate_WIP	gender	geb_plaats	geb_plaats_WIP	birthCountry	birthCountry_WIP	overl_plaats	overl_plaats_WIP	deathCountry	deathCountry_WIP	period	geboortedatum	geboortedatum_WIP	sterfdatum	sterfdatum_WIP	language	category	profession	organisation
A. Roland Holst	23 mei 1888	1888-05-23	Amsterdam	Amsterdam	6 augustus 1976	1976-08-06	Bergen	Bergen	https://www.dbnl.org/auteurs/auteur.php?id=rola001	rola001	Adriaan (Jani)	Roland Holst	A. Roland Holst		Amsterdam	Amsterdam	1888-05-23	1888-05-23	Bergen	Bergen	8/6/1976	1976-08-06	male	Amsterdam	Amsterdam			Bergen	Bergen			Twintigste Eeuw	23 mei 1888	1888-05-23	6 augustus 1976	1976-08-06	nl	secundair		
N.A. Donkersloot	8 september 1902	1902-09-08	Rotterdam	Rotterdam	26 december 1965	1965-12-26	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=donk007	donk007	N.A.	Donkersloot	Anthonie Donker/N.A. Donkersloot	vertaler	Rotterdam	Rotterdam	9/8/1902	1902-09-08	Amsterdam	Amsterdam	12/26/1965	1965-12-26	male	Rotterdam	Rotterdam			Amsterdam	Amsterdam			Twintigste Eeuw	8 september 1902	1902-09-08	26 december 1965	1965-12-26	nl		vertaler	
Roel Houwink	17 januari 1899	1899-01-17	Breda	Breda	3 juni 1987	1987-06-03	Zeist	Zeist	https://www.dbnl.org/auteurs/auteur.php?id=houw008	houw008	Roelof Martinus Frederik	Houwink	H. van Elro/Roel Houwink	journalist/psychol/jurist/zielsverzorger/redacteur/ps.ther./advocaat	Breda	Breda	1899-01-17	1899-01-17	Zeist	Zeist	6/3/1987	1987-06-03	male	Breda	Breda			Zeist	Zeist			Twintigste Eeuw	17 januari 1899	1899-01-17	3 juni 1987	1987-06-03	nl		advocaat/journalist/jurist/redacteur/zielsverzorger/ps.ther./psychol	
Mathias Kemp	31 december 1890	1890-12-31	Maastricht	Maastricht	7 augustus 1964	1964-08-07	Maastricht	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=kemp004	kemp004	Mathias	Kemp	Eric/M. van Wijk/Mathias Kemp	boekhandelaar/uitgever/schilder/boekdrukker	Maastricht	Maastricht	1890-12-31	1890-12-31	Maastricht	Maastricht	8/7/1964	1964-08-07	male	Maastricht	Maastricht			Maastricht	Maastricht			Twintigste Eeuw	31 december 1890	1890-12-31	7 augustus 1964	1964-08-07	nl	nonfictie/limburg	boekhandelaar/uitgever/schilder/boekdrukker	
J.C. van Schagen	11 december 1891	1891-12-11	Vlissingen	Vlissingen	17 april 1985	1985-04-17	Deventer	Deventer	https://www.dbnl.org/auteurs/auteur.php?id=scha027	scha027	Johan Christiaan Jacobus	van Schagen	J.C. van Schagen	illustrator/tekenaar/beeldend kunstenaar	Vlissingen	Vlissingen	1891-12-11	1891-12-11	Deventer	Deventer	4/17/1985	1985-04-17	male	Vlissingen	Vlissingen			Deventer	Deventer			Twintigste Eeuw	11 december 1891	1891-12-11	17 april 1985	1985-04-17	nl	secundair/nonfictie	illustrator/tekenaar/beeldend kunstenaar	
Henrik Scholte	25 januari 1903	1903-01-25	Groningen	Groningen	28 mei 1988	1988-05-28	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=scho012	scho012	Henrik	Scholte	Henrik Scholte	advocaat/jurist	Groningen	Groningen	1/25/1903	1903-01-25	Amsterdam	Amsterdam	5/28/1988	1988-05-28	male	Groningen	Groningen			Amsterdam	Amsterdam			Twintigste Eeuw	25 januari 1903	1903-01-25	28 mei 1988	1988-05-28	nl		advocaat/jurist	
A. den Doolaard	7 februari 1901	1901-02-07	Zwolle	Zwolle	26 juni 1994	1994-06-26	Hoenderloo	Hoenderloo	https://www.dbnl.org/auteurs/auteur.php?id=dool001	dool001	A.	den Doolaard	A. den Doolaard/C.J.G. Spoelstra/Cornelis Johannes George Spoelstra	redacteur/journalist	Zwolle	Zwolle	2/7/1901	1901-02-07	Hoenderloo	Hoenderloo	6/26/1994	1994-06-26	male	Zwolle	Zwolle			Hoenderloo	Hoenderloo			Twintigste Eeuw	7 februari 1901	1901-02-07	26 juni 1994	1994-06-26	nl	secundair/nonfictie	redacteur/journalist	
Martien Beversluis	28 maart 1894	1894-03-28	Barendrecht	Barendrecht	18 februari 1966	1966-02-18	Vrouwenpolder	Vrouwenpolder	https://www.dbnl.org/auteurs/auteur.php?id=beve004	beve004	Martinus	Beversluis	Huib Wouters/M.B. Versluis/Martien Beversluis/Reinier Bloemert/Silvius Berckhout/Thea de Born	journalist/redacteur/staatsman/bestuurder/politicus	Barendrecht	Barendrecht	1894-03-28	1894-03-28	Vrouwenpolder	Vrouwenpolder	2/18/1966	1966-02-18	male	Barendrecht	Barendrecht			Vrouwenpolder	Vrouwenpolder			Twintigste Eeuw	28 maart 1894	1894-03-28	18 februari 1966	1966-02-18	nl		journalist/redacteur/staatsman/bestuurder/politicus	
J.J. ten Berge S.J.	14 december 1892	1892-12-14	Leens	Leens	23 december 1978	1978-12-23	Nijmegen	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=berg113	berg113	Joannes Josephus	ten Berge S.J.	J.J. ten Berge S.J.	rk-geestelijke/kloosterling/redacteur/journalist	Leens	Leens	1892-12-14	1892-12-14	Nijmegen	Nijmegen	12/23/1978	1978-12-23	male	Leens	Leens			Nijmegen	Nijmegen			Twintigste Eeuw	14 december 1892	1892-12-14	23 december 1978	1978-12-23			rk-geestelijke/redacteur/kloosterling/journalist	
Erich Wichman	11 augustus 1890	1890-08-11	Utrecht	Utrecht	1 januari 1929	1929-01-01	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=wich002	wich002	Erich	Wichman	Erich Wichman	staatsman/schilder/bestuurder/politicus	Utrecht	Utrecht	1890-08-11	1890-08-11	Amsterdam	Amsterdam	1/1/1929	1929-01-01	male	Utrecht	Utrecht			Amsterdam	Amsterdam			Twintigste Eeuw	11 augustus 1890	1890-08-11	1 januari 1929	1929-01-01	nl		staatsman/schilder/bestuurder/politicus	
Blaise Cendrars	1 september 1887	1887-09-01	La Chaux-de-Fonds	La Chaux-de-Fonds	21 januari 1961	1961-01-21	Parijs	Parijs	https://www.dbnl.org/auteurs/auteur.php?id=cend001	cend001	Frédéric Louis	Cendrars	Blaise Cendrars/Frédéric Louis Sauser				1887-09-01	1887-09-01			1/21/1961	1961-01-21	male	La Chaux-de-Fonds	La Chaux-de-Fonds	Zwitserland	Zwitserland	Parijs	Parijs	Frankrijk	Frankrijk	Twintigste Eeuw	1 september 1887	1887-09-01	21 januari 1961	1961-01-21	fr	buitenland		
H.W.E. Moller	8 november 1869	1869-11-08	Amsterdam	Amsterdam	6 december 1940	1940-12-06	Tilburg	Tilburg	https://www.dbnl.org/auteurs/auteur.php?id=moll007	moll007	Hendrik Willem Evert	Moller	H.W.E. Moller/Hendrik Möller	staatsman/bestuurder/politicus	Amsterdam	Amsterdam	1869-11-08	1869-11-08	Tilburg	Tilburg	12/6/1940	1940-12-06	male	Amsterdam	Amsterdam			Tilburg	Tilburg			19e/20e Eeuw	8 november 1869	1869-11-08	6 december 1940	1940-12-06	nl	secundair	staatsman/bestuurder/politicus	
Dop Bles	8 september 1883	1883-09-08	Rotterdam	Rotterdam	16 januari 1940	1940-01-16	Den Haag	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=bles001	bles001	Adolf	Bles	A. Dolfers/Dop Bles/Ida de Wilde/J. Th. Ring/R. Brevier/R. de Buci/Ronselaar Brevier	boekhandelaar	Rotterdam	Rotterdam	1883-09-08	1883-09-08	Den Haag	Den Haag	1/16/1940	1940-01-16	male	Rotterdam	Rotterdam			Den Haag	Den Haag			Twintigste Eeuw	8 september 1883	1883-09-08	16 januari 1940	1940-01-16	nl		boekhandelaar	
Hans van Zijl	1910	1910-xx-xx			3 december 1963	1963-12-03			https://www.dbnl.org/auteurs/auteur.php?id=zijl001	zijl001	Joanna Maria Jannetta	van Zijl	De Kat-van Zijl/Hans de Kat/Hans van Zijl				1910	1910-xx-xx			12/3/1963	1963-12-03	female									Twintigste Eeuw	1910	1910-xx-xx	3 december 1963	1963-12-03				
François Villon	1431	1431-xx-xx	Frankrijk	Frankrijk	ca. 1463	ca. 1463-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=vill006	vill006	François	Villon	François Villon/François de Montcorbier				1431	1431-xx-xx			ca. -14-3~		male			Frankrijk	Frankrijk					Middeleeuwen	1431	1431-xx-xx	ca. 1463	ca. 1463-xx-xx		buitenland		
J. Wille	8 april 1881	1881-04-08	Koudekerk a/d Rijn	Koudekerk aan den Rijn	16 april 1964	1964-04-16	Oosterbeek	Oosterbeek	https://www.dbnl.org/auteurs/auteur.php?id=will006	will006	Jacobus	Wille	J. Wille		Koudekerk aan den Rijn	Koudekerk aan den Rijn	1881-04-08	1881-04-08	Oosterbeek	Oosterbeek	4/16/1964	1964-04-16	male	Koudekerk a/d Rijn	Koudekerk aan den Rijn			Oosterbeek	Oosterbeek			Twintigste Eeuw	8 april 1881	1881-04-08	16 april 1964	1964-04-16	nl	secundair		
Henri Morel	28 november 1898	1898-11-28	Nijmegen	Nijmegen	3 november 1969	1969-11-03	Heerlen	Heerlen	https://www.dbnl.org/auteurs/auteur.php?id=more012	more012	Hendrikus Stephanus Antonius Morel	Morel	Alex Campaert/Henri Morel	vertaler/redacteur/journalist	Nijmegen	Nijmegen	1898-11-28	1898-11-28	Heerlen	Heerlen	11/3/1969	1969-11-03	male	Nijmegen	Nijmegen			Heerlen	Heerlen			Twintigste Eeuw	28 november 1898	1898-11-28	3 november 1969	1969-11-03			vertaler/redacteur/journalist	
J.H. Horemans									https://www.dbnl.org/auteurs/auteur.php?id=hore012	hore012	J.H.	Horemans	J.H. Horemans										male									19e/20e Eeuw						jeugdliteratuur		
Theo Vonck	1900	1900-xx-xx			1974	1974-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=vonc002	vonc002	Theo	Vonck	Flore Cuwart/Theo Vonck				1900	1900-xx-xx			1974	1974-xx-xx	male									Twintigste Eeuw	1900	1900-xx-xx	1974	1974-xx-xx				
Lambert Melissen	8 november 1909	1909-11-08	Langeweg	Langeweg					https://www.dbnl.org/auteurs/auteur.php?id=meli008	meli008	Lambert Petrus Antonius	Melissen	Lambert Melissen/Paul van der Waeter	onderwijzer (basisschool)	Langeweg	Langeweg	11/8/1909	1909-11-08					male	Langeweg	Langeweg							Twintigste Eeuw	8 november 1909	1909-11-08					onderwijzer (basisschool)	
Gerard Wijdeveld	1905	1905-xx-xx			1997	1997-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=wijd001	wijd001	Gerard Egbert Antoon Maria	Wijdeveld	Gerard Wijdeveld				1905	1905-xx-xx			1997	1997-xx-xx	male									Twintigste Eeuw	1905	1905-xx-xx	1997	1997-xx-xx	nl			
[tijdschrift] Dietsche Warande en Belfort									https://www.dbnl.org/auteurs/auteur.php?id=_die004	_die004		[tijdschrift] Dietsche Warande en Belfort	[tijdschrift] Dietsche Warande en Belfort										male																	
Mien Proost	21 februari 1902	1902-02-21	Amsterdam	Amsterdam	7 november 1987	1987-11-07			https://www.dbnl.org/auteurs/auteur.php?id=proo004	proo004	Mien	Proost	H. Klomp/Mien Proost	redacteur/journalist	Amsterdam	Amsterdam	2/21/1902	1902-02-21			11/7/1987	1987-11-07	female	Amsterdam	Amsterdam							Twintigste Eeuw	21 februari 1902	1902-02-21	7 november 1987	1987-11-07	nl		redacteur/journalist	
Jacques Gans	7 december 1907	1907-12-07	Hilversum	Hilversum	26 augustus 1972	1972-08-26	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=gans001	gans001	Jacques	Gans	Jacques Gans	redacteur/journalist	Hilversum	Hilversum	12/7/1907	1907-12-07	Amsterdam	Amsterdam	8/26/1972	1972-08-26	male	Hilversum	Hilversum			Amsterdam	Amsterdam			Twintigste Eeuw	7 december 1907	1907-12-07	26 augustus 1972	1972-08-26	nl		redacteur/journalist	
Theo Schlichting	14 januari 1894	1894-01-14	Graft	Graft	14 september 1957	1957-09-14	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=schl007	schl007	Theo Herman	Schlichting	Theo Schlichting	leraar/hoogleraar/docent/apotheker/medicus	Graft	Graft	1894-01-14	1894-01-14	Amsterdam	Amsterdam	9/14/1957	1957-09-14	male	Graft	Graft			Amsterdam	Amsterdam			Twintigste Eeuw	14 januari 1894	1894-01-14	14 september 1957	1957-09-14	nl	nonfictie	leraar/hoogleraar/docent/apotheker/medicus	
N. van Wijk	4 oktober 1880	1880-10-04			25 maart 1941	1941-03-25	Leiden	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=wijk002	wijk002	Nicolaas	van Wijk	N. van Wijk	letterkundige (NIET-neerl.)	Delden	Delden	1880-10-04	1880-10-04	Leiden	Leiden	3/25/1941	1941-03-25	male	Delden	Delden			Leiden	Leiden			Twintigste Eeuw	4 oktober 1880	1880-10-04	25 maart 1941	1941-03-25	nl	taalkunde	letterkundige (NIET-neerl.)	
Hendrik Wiegersma	7 oktober 1891	1891-10-07			5 april 1969	1969-04-05	Deurne	Deurne	https://www.dbnl.org/auteurs/auteur.php?id=wieg004	wieg004	Hendrikus Josephus Maria (Hendrik)	Wiegersma	Hendrik Wiegersma	tekenaar/schilder/illustrator/apotheker/medicus/beeldend kunstenaar	Lith	Lith	1891-10-07	1891-10-07	Deurne	Deurne	4/5/1969	1969-04-05	male	Lith	Lith			Deurne	Deurne			Twintigste Eeuw	7 oktober 1891	1891-10-07	5 april 1969	1969-04-05	nl	nonfictie	tekenaar/schilder/illustrator/apotheker/medicus/beeldend kunstenaar	
Theun de Vries	26 april 1907	1907-04-26	Veenwouden	Veenwouden	21 januari 2005	2005-01-21	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=vrie049	vrie049	Theunis Uilke	de Vries	Ibn-Askari/Theun de Vries	redacteur/journalist	Veenwouden	Veenwouden	4/26/1907	1907-04-26	Amsterdam	Amsterdam	1/21/2005	2005-01-21	male	Veenwouden	Veenwouden			Amsterdam	Amsterdam			Twintigste Eeuw	26 april 1907	1907-04-26	21 januari 2005	2005-01-21	nl	secundair/fries	redacteur/journalist	
H.E.H. van Loon	1885	1885-xx-xx	Rotterdam	Rotterdam	1942	1942-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=loon004	loon004	Hector Eli Henri	van Loon	H.E.H. van Loon		Rotterdam	Rotterdam	1885	1885-xx-xx			1942	1942-xx-xx	male	Rotterdam	Rotterdam							Twintigste Eeuw	1885	1885-xx-xx	1942	1942-xx-xx	nl			
J.F.M. Sterck	3 januari 1859	1859-01-03	Amsterdam	Amsterdam	28 augustus 1941	1941-08-28	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=ster002	ster002	Johannes Franciscus Maria	Sterck	J.F.M. Sterck		Amsterdam	Amsterdam	1859-01-03	1859-01-03	Amsterdam	Amsterdam	8/28/1941	1941-08-28	male	Amsterdam	Amsterdam			Amsterdam	Amsterdam			19e/20e Eeuw	3 januari 1859	1859-01-03	28 augustus 1941	1941-08-28	nl	secundair		
J.C. Bloem	10 mei 1887	1887-05-10	Oudshoorn	Oudshoorn	10 augustus 1966	1966-08-10	Kalenberg	Kalenberg	https://www.dbnl.org/auteurs/auteur.php?id=bloe001	bloe001	Jacobus Cornelis	Bloem	Ego Flos/Fey/J.C. Bloem/Jacques Bloem	advocaat/jurist	Oudshoorn	Oudshoorn	1887-05-10	1887-05-10	Kalenberg	Kalenberg	8/10/1966	1966-08-10	male	Oudshoorn	Oudshoorn			Kalenberg	Kalenberg			Twintigste Eeuw	10 mei 1887	1887-05-10	10 augustus 1966	1966-08-10	nl	secundair	advocaat/jurist	
Vic Reinders	7 augustus 1888	1888-08-07	Maastricht	Maastricht	14 juni 1961	1961-06-14	Maastricht	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=rein003	rein003	Mathieu Antoine Victor	Reinders	Vic Reinders	tekenaar/leraar/hoogleraar/illustrator/docent/beeldend kunstenaar	Maastricht	Maastricht	1888-08-07	1888-08-07	Maastricht	Maastricht	6/14/1961	1961-06-14	male	Maastricht	Maastricht			Maastricht	Maastricht			Twintigste Eeuw	7 augustus 1888	1888-08-07	14 juni 1961	1961-06-14	nl	limburg	tekenaar/leraar/hoogleraar/illustrator/docent/beeldend kunstenaar	
Jan H. Eekhout	10 januari 1900	1900-01-10	Sluis	Sluis	6 maart 1978	1978-03-06	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=eekh004	eekh004	Jan Hendrik	Eekhout	E. van der Eerde/Jan H. Eekhout	vertaler/redacteur/journalist	Sluis	Sluis	1/10/1900	1900-01-10	Amsterdam	Amsterdam	3/6/1978	1978-03-06	male	Sluis	Sluis			Amsterdam	Amsterdam			Twintigste Eeuw	10 januari 1900	1900-01-10	6 maart 1978	1978-03-06	nl	secundair	vertaler/redacteur/journalist	
Huub van der Grinten	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=grin002	grin002	Hubertus Franciscus Antonius Maria	van der Grinten	Huub van der Grinten				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx						
F.J.H. Lousberg	1891	1891-xx-xx	Maastricht	Maastricht	1965	1965-xx-xx	Maastricht	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=lous001	lous001	Franciscus Josephus Hubertus (Frans)	Lousberg	F.J.H. Lousberg	koopman/zakenman/indust.	Maastricht	Maastricht	1891	1891-xx-xx	Maastricht	Maastricht	1965	1965-xx-xx	male	Maastricht	Maastricht			Maastricht	Maastricht			Twintigste Eeuw	1891	1891-xx-xx	1965	1965-xx-xx	nl	limburg	koopman/zakenman/indust.	
Henri Borel	23 november 1869	1869-11-23	Dordrecht	Dordrecht	31 augustus 1933	1933-08-31			https://www.dbnl.org/auteurs/auteur.php?id=bore002	bore002	Henri	Borel	Henri Borel/Henri Jean François Borel	redacteur/journalist/vertaler	Dordrecht	Dordrecht	1869-11-23	1869-11-23	Den Haag	Den Haag	8/31/1933	1933-08-31	male	Dordrecht	Dordrecht			Den Haag	Den Haag			19e/20e Eeuw	23 november 1869	1869-11-23	31 augustus 1933	1933-08-31	nl		vertaler/redacteur/journalist	
D.A.M. Binnendijk	12 oktober 1902	1902-10-12	Leiden	Leiden	1 juni 1984	1984-06-01	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=binn004	binn004	Dirk Adrianus Michel	Binnendijk	D.A.M. Binnendijk/D.A.M.B./Dick Binnendijk/Dirk Nolting	ambtenaar/leraar/archeoloog/hoogleraar/docent/historicus	Leiden	Leiden	10/12/1902	1902-10-12	Amsterdam	Amsterdam	6/1/1984	1984-06-01	male	Leiden	Leiden			Amsterdam	Amsterdam			Twintigste Eeuw	12 oktober 1902	1902-10-12	1 juni 1984	1984-06-01	nl		ambtenaar/leraar/archeoloog/hoogleraar/docent/historicus	
A. Viruly	5 januari 1905	1905-01-05	Breda	Breda	1986	1986-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=viru001	viru001	Adriaan	Viruly	A. Viruly	officier/militair	Breda	Breda	1/5/1905	1905-01-05			1986	1986-xx-xx	male	Breda	Breda							Twintigste Eeuw	5 januari 1905	1905-01-05	1986	1986-xx-xx	nl	secundair/jeugdliteratuur	officier/militair	
Jacques Schreurs	9 februari 1893	1893-02-09	Sittard	Sittard	31 januari 1966	1966-01-31	Weert	Weert	https://www.dbnl.org/auteurs/auteur.php?id=schr014	schr014	Jacobus Hubertus	Schreurs	Jacques Schreurs	rk-geestelijke/kloosterling	Sittard	Sittard	1893-02-09	1893-02-09	Weert	Weert	1/31/1966	1966-01-31	male	Sittard	Sittard			Weert	Weert			Twintigste Eeuw	9 februari 1893	1893-02-09	31 januari 1966	1966-01-31	nl	nonfictie/limburg	rk-geestelijke/kloosterling	
Gerrit Achterberg	20 mei 1905	1905-05-20	Langbroek	Langbroek	17 januari 1962	1962-01-17	Leusden	Leusden	https://www.dbnl.org/auteurs/auteur.php?id=acht003	acht003	Gerrit	Achterberg	Gerrit Achterberg		Langbroek	Langbroek	5/20/1905	1905-05-20	Leusden	Leusden	1/17/1962	1962-01-17	male	Langbroek	Langbroek			Leusden	Leusden			Twintigste Eeuw	20 mei 1905	1905-05-20	17 januari 1962	1962-01-17	nl			
J.J. van Geuns	25 februari 1893	1893-02-25	Zierikzee	Zierikzee	6 maart 1959	1959-03-06	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=geun001	geun001	Jan Jacob	van Geuns	J.J. van Geuns	advocaat/jurist	Zierikzee	Zierikzee	1893-02-25	1893-02-25	Amsterdam	Amsterdam	3/6/1959	1959-03-06	male	Zierikzee	Zierikzee			Amsterdam	Amsterdam			Twintigste Eeuw	25 februari 1893	1893-02-25	6 maart 1959	1959-03-06	nl		advocaat/jurist	
Halbo C. Kool	25 januari 1907	1907-01-25	Groningen	Groningen	30 mei 1968	1968-05-30	Kortenhoef	Kortenhoef	https://www.dbnl.org/auteurs/auteur.php?id=kool003	kool003	Halbo C.	Kool	Halbo C. Kool	vertaler	Groningen	Groningen	1/25/1907	1907-01-25	Kortenhoef	Kortenhoef	5/30/1968	1968-05-30	male	Groningen	Groningen			Kortenhoef	Kortenhoef			Twintigste Eeuw	25 januari 1907	1907-01-25	30 mei 1968	1968-05-30	nl		vertaler	
Emile Erens	27 april 1865	1865-04-27	Schaesberg	Schaesberg	16 april 1951	1951-04-16	Heemstede	Heemstede	https://www.dbnl.org/auteurs/auteur.php?id=eren001	eren001	Emile	Erens	Emile Erens	agrariër	Schaesberg	Schaesberg	1865-04-27	1865-04-27	Heemstede	Heemstede	4/16/1951	1951-04-16	male	Schaesberg	Schaesberg			Heemstede	Heemstede			19e/20e Eeuw	27 april 1865	1865-04-27	16 april 1951	1951-04-16	nl	secundair/limburg	agrariër	
Maurits Mok	7 november 1907	1907-11-07	Haarlem	Haarlem	7 februari 1989	1989-02-07	Bergen	Bergen	https://www.dbnl.org/auteurs/auteur.php?id=mok_002	mok_002	Maurits	Mok	Maurits Mok		Haarlem	Haarlem	11/7/1907	1907-11-07	Bergen	Bergen	2/7/1989	1989-02-07	male	Haarlem	Haarlem			Bergen	Bergen			Twintigste Eeuw	7 november 1907	1907-11-07	7 februari 1989	1989-02-07	nl	jeugdliteratuur	vertaler	
Gabriël Smit	25 februari 1910	1910-02-25	Utrecht	Utrecht	23 mei 1981	1981-05-23	Laren (N.H.)	Laren	https://www.dbnl.org/auteurs/auteur.php?id=smit006	smit006	Gabriel Wijnand	Smit	Gabriël Smit		Utrecht	Utrecht	2/25/1910	1910-02-25	Laren	Laren	5/23/1981	1981-05-23	male	Utrecht	Utrecht			Laren (N.H.)	Laren			Twintigste Eeuw	25 februari 1910	1910-02-25	23 mei 1981	1981-05-23	nl	secundair/jeugdliteratuur		
Joris Ivens	18 november 1898	1898-11-18	Nijmegen	Nijmegen	28 juni 1989	1989-06-28	Parijs	Parijs	https://www.dbnl.org/auteurs/auteur.php?id=iven003	iven003	Georg Henri Anton (Joris)	Ivens	Joris Ivens		Nijmegen	Nijmegen	1898-11-18	1898-11-18			6/28/1989	1989-06-28	male	Nijmegen	Nijmegen			Parijs	Parijs	Frankrijk	Frankrijk	Twintigste Eeuw	18 november 1898	1898-11-18	28 juni 1989	1989-06-28	nl	nonfictie		
Luc Tournier	19 november 1907	1907-11-19	Rotterdam	Rotterdam	20 december 1980	1980-12-20	Willemstad	Willemstad	https://www.dbnl.org/auteurs/auteur.php?id=tour003	tour003	Luc	Tournier	Chris Engels/Luc Tournier	apotheker/medicus	Rotterdam	Rotterdam	11/19/1907	1907-11-19			12/20/1980	1980-12-20	male	Rotterdam	Rotterdam			Willemstad	Willemstad	Caribisch deel van het Nederlandse Koninkrijk	Caribisch deel van het Nederlandse Koninkrijk	Twintigste Eeuw	19 november 1907	1907-11-19	20 december 1980	1980-12-20	nl		apotheker/medicus	
Wilhelmus Nicolaï			Amsterdam	Amsterdam					https://www.dbnl.org/auteurs/auteur.php?id=nico018	nico018	Wilhelmus	Nicolaï	Somerus/Wilhelmus Nicolaï	herv./leraar/geref. predikant					Amsterdam	Amsterdam	1649	1649-xx-xx	male					Amsterdam	Amsterdam			Periode 1550-1700			1649	1649-xx-xx		nonfictie	herv./leraar/geref. predikant	
Jan van Gelder	1903	1903-xx-xx			1980	1980-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=geld021	geld021	Jan	van Gelder	Jan van Gelder	kunsthistoricus/kunsthandelaar			1903	1903-xx-xx			1980	1980-xx-xx	male									Twintigste Eeuw	1903	1903-xx-xx	1980	1980-xx-xx	nl		kunsthistoricus/kunsthandelaar	
Chris de Graaff	13 september 1890	1890-09-13			4 februari 1955	1955-02-04			https://www.dbnl.org/auteurs/auteur.php?id=graa015	graa015	Christiaan Jacobus Julius	de Graaff	Chris de Graaff	redacteur/journalist	Hertogenbosch	Hertogenbosch	1890-09-13	1890-09-13	Amsterdam	Amsterdam	2/4/1955	1955-02-04	male	Hertogenbosch	Hertogenbosch			Amsterdam	Amsterdam			Twintigste Eeuw	13 september 1890	1890-09-13	4 februari 1955	1955-02-04	nl		redacteur/journalist	
Oscar Leyendekkers	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=leye001	leye001	Oscar	Leyendekkers	Oscar Leyendekkers				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				nonfictie		
A.J.D. van Oosten	12 november 1898	1898-11-12	Delft	Delft	23 januari 1969	1969-01-23	Rotterdam	Rotterdam	https://www.dbnl.org/auteurs/auteur.php?id=oost003	oost003	Abraham Jan Daniël	van Oosten	A.J.D. van Oosten	schilder/redacteur/journalist	Delft	Delft	1898-11-12	1898-11-12	Rotterdam	Rotterdam	1/23/1969	1969-01-23	male	Delft	Delft			Rotterdam	Rotterdam			Twintigste Eeuw	12 november 1898	1898-11-12	23 januari 1969	1969-01-23	nl	jeugdliteratuur	schilder/redacteur/journalist	
