Author	DOB	POB	DOD	POD	Link	identifier
A.A. Smijers	19 juli 1888		15 mei 1957	Huis ter Heide ut	https://www.dbnl.org/auteurs/auteur.php?id=smij003	smij003
Piet Beek	29 juni 1910		28 oktober 1990		https://www.dbnl.org/auteurs/auteur.php?id=beek024	beek024
Willem Hoffman	1908		1991		https://www.dbnl.org/auteurs/auteur.php?id=hoff003	hoff003
Wiel van der Randen	10 maart 1897	Venlo	24 juli 1949	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=rand005	rand005
C.J. Vos	14 januari 1891	Utrecht	9 oktober 1955	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=vos_005	vos_005
G. Engelberg	1912	Antwerpen			https://www.dbnl.org/auteurs/auteur.php?id=enge004	enge004
René Berghen	14 april 1901	Antwerpen	13 januari 1988	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=berg056	berg056
Marcel Matthijs	11 januari 1899	Oedelem (Beernem)	30 augustus 1964	Brugge	https://www.dbnl.org/auteurs/auteur.php?id=matt009	matt009
Maurice Gilliams	20 juli 1900	Antwerpen	18 oktober 1982	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=gill003	gill003
Bert Verbist	1916		1992		https://www.dbnl.org/auteurs/auteur.php?id=verb020	verb020
Blanka Gyselen	26 november 1909	Antwerpen	29 mei 1959	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=gyse001	gyse001
Albe	8 juni 1902	Mechelen	10 oktober 1973	Brussel	https://www.dbnl.org/auteurs/auteur.php?id=albe001	albe001
Marnix van Gavere	31 december 1897	Deinze	27 januari 1974	Deinze	https://www.dbnl.org/auteurs/auteur.php?id=gave001	gave001
Gabriëlle Demedts	11 juni 1909	Sint Baafs Vijve	6 september 2002	Kortrijk	https://www.dbnl.org/auteurs/auteur.php?id=deme003	deme003
René Verbeeck	18 april 1904	Wilsele	13 november 1979	Mortsel	https://www.dbnl.org/auteurs/auteur.php?id=verb005	verb005
Edgar Twello	1918		1959		https://www.dbnl.org/auteurs/auteur.php?id=twel001	twel001
A. van der Wey	1903		1988		https://www.dbnl.org/auteurs/auteur.php?id=wey_001	wey_001
Charles Roelofsz	5 maart 1897	Amsterdam	5 augustus 1962	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=roel010	roel010
August Vermeylen	12 mei 1872	Brussel	10 januari 1945	Brussel	https://www.dbnl.org/auteurs/auteur.php?id=verm036	verm036
Adrien Jans	22 oktober 1905	Edegem	24 september 1973	Brussel	https://www.dbnl.org/auteurs/auteur.php?id=jans119	jans119
Hans Keilson	12 december 1909	Bad Freienwalde	31 mei 2011	Hilversum	https://www.dbnl.org/auteurs/auteur.php?id=coop001	coop001
Jan Bent			ca. 1775		https://www.dbnl.org/auteurs/auteur.php?id=bent004	bent004
Maurits Dekker	16 juli 1896	Amsterdam	7 oktober 1962	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=dekk007	dekk007
Gustav Delory	10 september 1857	Lille	17 augustus 1925	Lille	https://www.dbnl.org/auteurs/auteur.php?id=delo002	delo002
Jacob Hendrik van Duinen	19 mei 1840	Groningen	7 november 1885	Muiderberg	https://www.dbnl.org/auteurs/auteur.php?id=duin006	duin006
Joh. Hartog	1912		1997		https://www.dbnl.org/auteurs/auteur.php?id=hart062	hart062
Chris van der Weye	23 april 1888	Amsterdam	29 augustus 1973	Muiden	https://www.dbnl.org/auteurs/auteur.php?id=weye001	weye001
Bernard Delfgaauw	24 november 1912	Amsterdam	20 augustus 1993	Haren	https://www.dbnl.org/auteurs/auteur.php?id=delf007	delf007
F.J.J. Buytendijk	1887		1974		https://www.dbnl.org/auteurs/auteur.php?id=buyt004	buyt004
Roel Verlaan	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=verl002	verl002
Leo Heirman	16 oktober 1914	Lisse	6 september 1982	Vlieland	https://www.dbnl.org/auteurs/auteur.php?id=heir005	heir005
Albert C.A. Voortman			20ste eeuw		https://www.dbnl.org/auteurs/auteur.php?id=voor032	voor032
Max de Jong	25 december 1917	Wageningen	10 juni 1951	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=jong045	jong045
A.G.M. van de Wijnpersse	1925		1968		https://www.dbnl.org/auteurs/auteur.php?id=wijn039	wijn039
Robert Franquinet	5 juni 1915	Amby	30 mei 1979	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=fran024	fran024
Maarten Vrolijk	14 mei 1919	Scheveningen	7 februari 1994		https://www.dbnl.org/auteurs/auteur.php?id=vrol001	vrol001
Bert Peleman	13 april 1915	Puurs	1995		https://www.dbnl.org/auteurs/auteur.php?id=pele002	pele002
A. Marja	8 maart 1917	Oude Leije	10 januari 1964	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=marj001	marj001
Reinold Kuipers	26 augustus 1914	Groningen	12 september 2005	Amstelveen	https://www.dbnl.org/auteurs/auteur.php?id=kuip016	kuip016
Ferd. Sassen	13 augustus 1894	Nijmegen	16 september 1971	Lugano	https://www.dbnl.org/auteurs/auteur.php?id=sass011	sass011
D.A. de Graaf	1906	Utrecht	1981		https://www.dbnl.org/auteurs/auteur.php?id=graa004	graa004
Walter Breedveld	25 juli 1901	Hertogenbosch	18 december 1977	Tilburg	https://www.dbnl.org/auteurs/auteur.php?id=bree005	bree005
Marianne Philips	18 maart 1886	Amsterdam	13 mei 1951	Naarden	https://www.dbnl.org/auteurs/auteur.php?id=phil006	phil006
Jeanne Liedmeier	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=lied004	lied004
Max Prick van Wely	1909				https://www.dbnl.org/auteurs/auteur.php?id=pric006	pric006
G. Vos de Wael	1849		1952		https://www.dbnl.org/auteurs/auteur.php?id=vos_043	vos_043
Loe Maas	28 mei 1911	Maastricht	2 november 1970	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=maas005	maas005
Frederik de Graaf	1913				https://www.dbnl.org/auteurs/auteur.php?id=graa005	graa005
K.J. Hahn	1912		2001		https://www.dbnl.org/auteurs/auteur.php?id=hahn001	hahn001
Jacques Benoit	25 december 1901	Leiden	12 september 1991	Vorden	https://www.dbnl.org/auteurs/auteur.php?id=beno001	beno001
Hendrik Houwens Post	18 september 1904	Soerakarta	1 september 1986	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=houw013	houw013
Hélène Nolthenius	9 april 1920	Amsterdam	22 april 2000		https://www.dbnl.org/auteurs/auteur.php?id=nolt001	nolt001
Johan Berger	30 november 1919	Aalst	1981		https://www.dbnl.org/auteurs/auteur.php?id=berg033	berg033
A.L.M. Arnolds	1913	Bergen op Zoom	1996	Bunnik	https://www.dbnl.org/auteurs/auteur.php?id=arno005	arno005
Victor E. van Vriesland	27 oktober 1892	Haarlem	29 oktober 1974	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=vrie060	vrie060
C.J. Kelk	28 augustus 1901	Amsterdam	25 december 1981	Doorwerth	https://www.dbnl.org/auteurs/auteur.php?id=kelk001	kelk001
H.W.J.M. Keuls	19 mei 1883	Obdam	29 oktober 1968	Ede	https://www.dbnl.org/auteurs/auteur.php?id=keul003	keul003
H.J.M.F. Lodewick	16 september 1909	Maastricht	19 maart 1995	Cadier en Keer	https://www.dbnl.org/auteurs/auteur.php?id=lode004	lode004
Ab Visser	14 februari 1913	Groningen	9 mei 1982	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=viss012	viss012
Hubert Janssen	7 maart 1910	Rotterdam	26 december 1984	Gare du Nord, Parijs	https://www.dbnl.org/auteurs/auteur.php?id=jans040	jans040
Jacques Idserda	8 juli 1918	Loosdrecht	14 februari 2007	Laren	https://www.dbnl.org/auteurs/auteur.php?id=idse001	idse001
J. van Delden	19 april 1919	Beerta	21 juli 2006	Appingedam	https://www.dbnl.org/auteurs/auteur.php?id=deld004	deld004
Karel Meeuwesse	11 juli 1914	Heer	24 juni 1991	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=meeu003	meeu003
F.J.J. Buitendijk	1887		1974		https://www.dbnl.org/auteurs/auteur.php?id=buit006	buit006
P.H. van der Kemp	1845		1921		https://www.dbnl.org/auteurs/auteur.php?id=kemp034	kemp034
Otto Dijk	7 juni 1925	Vlijmen	13 maart 2004		https://www.dbnl.org/auteurs/auteur.php?id=dijk009	dijk009
Otto van Eck	5 juli 1780		1798		https://www.dbnl.org/auteurs/auteur.php?id=eck_005	eck_005
Anton van der Vet	1919		1997		https://www.dbnl.org/auteurs/auteur.php?id=vet_001	vet_001
Peter Crassaerts	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=cras002	cras002
R.J. Valkhoff	1899		1971		https://www.dbnl.org/auteurs/auteur.php?id=valk015	valk015
J.J. Nieuwburg	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=nieu055	nieu055
H. de Vries	18de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=vrie079	vrie079
W.J.C. van Hasselt	9 januari 1795	Amsterdam	2 maart 1864	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=hass007	hass007
Nicolaas Beets	13 september 1814	Haarlem	13 maart 1903	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=beet005	beet005
Jan Pieter Heije	1 maart 1809	Amsterdam	24 februari 1876	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=heij007	heij007
Hendrik Engelinus Weijers	14 mei 1805	Winkel	31 maart 1844	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=weij008	weij008
J. Ackersdijck	22 oktober 1790	Hertogenbosch	13 juni 1861	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=acke008	acke008
E.J. Potgieter	27 juni 1808	Zwolle	3 februari 1875	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=potg001	potg001
Jacob Pieter van Walrée	3 december 1798	Amsterdam	22 januari 1849	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=walr011	walr011
S.J. van den Bergh	10 januari 1814	Den Haag	24 december 1868	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=berg047	berg047
J.P. Arend	6 november 1796	Amsterdam	5 oktober 1855	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=aren011	aren011
Herman Pol	1811	Hengelo	5 mei 1845	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=pol_003	pol_003
A.L.G. Bosboom-Toussaint	16 september 1812	Alkmaar	13 april 1886	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=bosb002	bosb002
Willem Gerard Brill	10 oktober 1811	Leiden	19 januari 1896	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=bril002	bril002
Joël Emanuel Goudsmit	13 juni 1813	Leiden	17 maart 1882	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=goud010	goud010
S. de Visser S.zoon	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=viss065	viss065
J.I.D. Nepveu	3 februari 1810	Utrecht	16 maart 1887	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=nepv001	nepv001
L.Ph.C. van den Bergh	20 juni 1805	Düsseldorf	17 september 1887	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=berg081	berg081
Johannes Gerardus la Lau	10 januari 1799	Leiden	10 augustus 1857	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=lau_001	lau_001
J.J.A. Goeverneur	14 februari 1809	Hoevelaken	18 maart 1889	Groningen	https://www.dbnl.org/auteurs/auteur.php?id=goev001	goev001
Conradus Leemans	28 april 1809	Zaltbommel	14 oktober 1893	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=leem005	leem005
Jan van der Hoeven	9 februari 1801	Rotterdam	10 maart 1868	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=hoev009	hoev009
Cornelis Star Numan	2 februari 1807	Sappemeer	9 mei 1857	Groningen	https://www.dbnl.org/auteurs/auteur.php?id=numa003	numa003
Montanus de Haan Hettema	28 januari 1796	Bolsward	18 december 1873		https://www.dbnl.org/auteurs/auteur.php?id=haan007	haan007
Taco Roorda	19 juli 1801	Britsum	5 mei 1874	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=roor005	roor005
John Bake	1 september 1787	Leiden	26 maart 1864	Velp	https://www.dbnl.org/auteurs/auteur.php?id=bake007	bake007
Johan de Wal	3 april 1816	Franeker	7 februari 1892	Arnhem	https://www.dbnl.org/auteurs/auteur.php?id=wal_010	wal_010
Jacob Geel	12 november 1789	Amsterdam	11 november 1862	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=geel003	geel003
André van Hasselt	5 januari 1806	Maastricht	1 december 1874	Brussel	https://www.dbnl.org/auteurs/auteur.php?id=hass001	hass001
J.F. Oltmans	1 september 1806	Den Haag	29 januari 1854	Steenderen	https://www.dbnl.org/auteurs/auteur.php?id=oltm001	oltm001
A.L. Lesturgeon	16 oktober 1815	Venlo	18 juni 1878	Zweelo	https://www.dbnl.org/auteurs/auteur.php?id=lest002	lest002
Willem Ernst Johan Berg	27 juli 1813	Amsterdam	24 juni 1888	Hilversum	https://www.dbnl.org/auteurs/auteur.php?id=berg073	berg073
Hendrik Jan Nassau	30 november 1791	Middelburg	8 november 1873	Assen	https://www.dbnl.org/auteurs/auteur.php?id=nass001	nass001
Wopke Eekhoff	2 maart 1809	Leeuwarden	12 februari 1880	Leeuwarden	https://www.dbnl.org/auteurs/auteur.php?id=eekh002	eekh002
H.F. Cohen	1 juli 1946	Haarlem			https://www.dbnl.org/auteurs/auteur.php?id=cohe008	cohe008
Henricus Bernardus Martini van Geffen	19 januari 1814	's-Hertogenbosch			https://www.dbnl.org/auteurs/auteur.php?id=mart036	mart036
Petrus de Raadt	4 maart 1796	Antwerpen	18 april 1862	Voorschoten	https://www.dbnl.org/auteurs/auteur.php?id=raad003	raad003
Leigh Hunt	1784	Londen	1859	Londen	https://www.dbnl.org/auteurs/auteur.php?id=hunt003	hunt003
Willem Moll	28 februari 1812	Dordrecht	16 augustus 1879		https://www.dbnl.org/auteurs/auteur.php?id=moll002	moll002
P.J. Veth	2 december 1814	Dordrecht	14 april 1895	Arnhem	https://www.dbnl.org/auteurs/auteur.php?id=veth004	veth004
Johan Rudolph Thorbecke	14 januari 1798	Zwolle	4 juni 1872	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=thor003	thor003
Hendrik Chistiaan Millies	15 oktober 1810	Den Haag	26 november 1868	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=mill003	mill003
Adriaan Beeloo	20 november 1798	Den Haag	4 oktober 1878	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=beel004	beel004
A.W. Engelen	23 augustus 1804	Valburg	28 januari 1890	Velp	https://www.dbnl.org/auteurs/auteur.php?id=enge012	enge012
Bartholomeus Philippus de Kanter	10 februari 1805	Aardenburg	4 april 1865	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=kant002	kant002
Levy Ali Cohen	6 oktober 1817	Meppel	22 november 1889	Groningen	https://www.dbnl.org/auteurs/auteur.php?id=ali_002	ali_002
W.J.A. Jonckbloet	6 juli 1817	Den Haag	19 oktober 1885	Wiesbaden	https://www.dbnl.org/auteurs/auteur.php?id=jonc003	jonc003
J. van Vloten	18 januari 1818	Kampen	21 september 1883	Haarlem	https://www.dbnl.org/auteurs/auteur.php?id=vlot002	vlot002
W.C.L. Clarisse	17 april 1811	Harderwijk	25 december 1845	Harderwijk	https://www.dbnl.org/auteurs/auteur.php?id=clar003	clar003
R.C. Bakhuizen van den Brink	28 februari 1810	Amsterdam	15 juli 1865	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=bakh003	bakh003
Henry Wadsworth Longfellow	1807		1882		https://www.dbnl.org/auteurs/auteur.php?id=long003	long003
Joost Hiddes Halbertsma	23 oktober 1789	Grouw	27 februari 1869	Deventer	https://www.dbnl.org/auteurs/auteur.php?id=halb003	halb003
R.P.A. Dozy	21 februari 1820	Leiden	29 april 1883	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=dozy002	dozy002
P.T. Helvetius van den Bergh	13 februari 1799	Zwolle	10 oktober 1873	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=berg046	berg046
Friedrich Kaiser	10 juni 1808	Amsterdam	28 juli 1872	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=kais003	kais003
George Willem Vreede	14 april 1809	Tilburg	29 juni 1880	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=vree009	vree009
J. van Geuns	5 juli 1808	Amsterdam	5 december 1880	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=geun004	geun004
Jan Gerhardus Ottema	1 december 1804	Doetinchem	19 maart 1879	Leeuwarden	https://www.dbnl.org/auteurs/auteur.php?id=otte001	otte001
Gerrit de Clercq	9 november 1821	Amsterdam	21 oktober 1857	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=cler009	cler009
Johannes Kneppelhout	8 januari 1814	Leiden	8 november 1885	Oosterbeek	https://www.dbnl.org/auteurs/auteur.php?id=knep001	knep001
C.J. van Assen	25 augustus 1788	Harlingen	13 september 1859	Velp	https://www.dbnl.org/auteurs/auteur.php?id=asse012	asse012
Gerardus Arnoldus Nicolaus Allebé	9 mei 1810	Amsterdam	18 juli 1892	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=alle003	alle003
C.W. Opzoomer	20 september 1821	Rotterdam	23 augustus 1892	Oosterbeek	https://www.dbnl.org/auteurs/auteur.php?id=opzo001	opzo001
Johannes Aletta Marinus Mensinga	15 augustus 1809	Utrecht	6 augustus 1898	Flensburg	https://www.dbnl.org/auteurs/auteur.php?id=mens007	mens007
Abraham des Amorie van der Hoeven jr.	15 februari 1821	Rotterdam	20 maart 1848	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=amor002	amor002
S. Vissering	23 juni 1818	Amsterdam	21 augustus 1888	Ellecom	https://www.dbnl.org/auteurs/auteur.php?id=viss040	viss040
Martinus des Amorie van der Hoeven	20 februari 1824	Rotterdam	13 oktober 1868	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=amor004	amor004
Dionys Burger	4 februari 1820	Rotterdam	31 oktober 1891	Amersfoort	https://www.dbnl.org/auteurs/auteur.php?id=burg010	burg010
Carl Ludwig Blume	29 juni 1789	Braunschweig	3 februari 1862	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=blum001	blum001
Willem Louis de Sturler	15 juni 1802	Tiel	1879	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=stur004	stur004
Willem Leonard Ritter	6 maart 1799	Haarlem	15 februari 1862	Haarlem	https://www.dbnl.org/auteurs/auteur.php?id=ritt003	ritt003
C.H.D. Buys Ballot	10 oktober 1817	Kloetinge	3 februari 1890	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=buys017	buys017
Jacobus Izaäk Doedes	20 november 1817	Langerak	19 december 1897	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=doed003	doed003
Jacob Dirks	19 juni 1811	Leeuwarden	25 november 1892	Leeuwarden	https://www.dbnl.org/auteurs/auteur.php?id=dirk004	dirk004
F.C. Donders	27 mei 1818	Tilburg	24 maart 1889	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=dond002	dond002
Jan van Gilse	19 oktober 1810	Zaandam	24 mei 1859	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=gils005	gils005
Johannes ab Utrecht Dresselhuis	30 september 1789	Kampen	23 augustus 1861	Middelburg	https://www.dbnl.org/auteurs/auteur.php?id=dres003	dres003
Georges Declercq	1958	Zwevegem			https://www.dbnl.org/auteurs/auteur.php?id=decl009	decl009
Jacques François Bosdijk	29 november 1812	Goes	26 februari 1850	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=bosd001	bosd001
A.J. de Bull	11 december 1823	Amsterdam	25 september 1888	Baarn	https://www.dbnl.org/auteurs/auteur.php?id=bull001	bull001
Isaäc da Costa	14 januari 1798	Amsterdam	28 april 1860	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=cost002	cost002
M.M. von Baumhauer	6 april 1816	Brugge	6 februari 1878	Delft	https://www.dbnl.org/auteurs/auteur.php?id=baum003	baum003
T.W.J. Juynboll	6 april 1802	Rotterdam	16 september 1861	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=juyn003	juyn003
G.E. Voorhelm Schneevoogt	26 december 1814	Haarlem	17 augustus 1871	Oosterbeek	https://www.dbnl.org/auteurs/auteur.php?id=schn017	schn017
Henry Riehm	19 juli 1822	Deil	6 november 1852	Amsterdam?	https://www.dbnl.org/auteurs/auteur.php?id=rieh001	rieh001
P. Halbertsma	19 november 1817	Bolsward	24 augustus 1852	Bloemendaal	https://www.dbnl.org/auteurs/auteur.php?id=halb011	halb011
Willem Jan Knoop	2 mei 1811	Deventer	24 januari 1894	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=knoo003	knoo003
Joannes Jacobus de Hollander	28 augustus 1817	Aartswoud	5 november 1886	Breda	https://www.dbnl.org/auteurs/auteur.php?id=holl022	holl022
T.K.M. von Baumhauer	17 november 1824	Brussel	24 september 1900	Zutphen	https://www.dbnl.org/auteurs/auteur.php?id=baum004	baum004
E. Piaget	1817		1910		https://www.dbnl.org/auteurs/auteur.php?id=piag001	piag001
D.D. Büchler	1787		1881		https://www.dbnl.org/auteurs/auteur.php?id=buch005	buch005
Willem Richard Boer	4 april 1818	Rotterdam	24 oktober 1894	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=boer044	boer044
J.J. Belinfante	11 maart 1812	Amsterdam	2 december 1882	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=beli005	beli005
Jacques Clement Perk	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=perk009	perk009
E.W. Beth	7 juli 1908	Almelo	12 april 1964	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=beth004	beth004
J.J. Viotta	14 januari 1814	Amsterdam	6 februari 1859	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=viot002	viot002
P.A. de Génestet	21 november 1829	Amsterdam	2 juli 1861	Rozendaal	https://www.dbnl.org/auteurs/auteur.php?id=gene002	gene002
J.J. Rovère van Breugel	1790		1861		https://www.dbnl.org/auteurs/auteur.php?id=rove004	rove004
Dirk Harting	6 oktober 1817	Rotterdam	22 februari 1892	Enkhuizen	https://www.dbnl.org/auteurs/auteur.php?id=hart018	hart018
J.C.G. Evers	18 oktober 1818	Den Haag	28 januari 1886	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=ever028	ever028
Carel Adriaan Engelbregt	10 juni 1816	Breda	17 juli 1890	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=enge027	enge027
Jan Heemskerk Bzn.	16 februari 1811	Amsterdam	17 december 1880	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=heem011	heem011
