Author	DOB	POB	DOD	POD	Link	identifier	givenName	familyName	alternateNames	occupation	birthPlace	birthDate	deathPlace	deathDate	gender
N.G.H. Deen	24 februari 1897	Den Haag	23 november 1977	Rotterdam	https://www.dbnl.org/auteurs/auteur.php?id=deen005	deen005	Nicolaas Gerardus Hendricus	Deen	N.G.H. Deen		Den Haag	1897-02-24	Rotterdam	11/23/1977	male
W.P.J. Pompe	10 maart 1893	Utrecht	26 juli 1968	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=pomp001	pomp001	Willem Petrus Joseph	Pompe	W.P.J. Pompe		Utrecht	1893-03-10	Utrecht	7/26/1968	male
Frans Erens	23 juli 1857	Schaesberg	5 december 1935	Houthem-Sint Gerlach	https://www.dbnl.org/auteurs/auteur.php?id=eren003	eren003	Maria Joseph Franciscus Peter Hubertus	Erens	Frans Erens/Gregorius/Trifouillard	tekenaar/jurist/vertaler/illustrator/advocaat/magistraat/beeldend kunstenaar	Schaesberg	1857-07-23	Houthem	12/5/1935	male
Charles Eyck	24 maart 1897	Meerssen	2 augusus 1983	Schimmert	https://www.dbnl.org/auteurs/auteur.php?id=eyck006	eyck006	Charles	Eyck	Charles Eyck	schilder	Meerssen	1897-03-24	Schimmert	1983-ug-2	male
Ad. Sassen	1906		1942		https://www.dbnl.org/auteurs/auteur.php?id=sass002	sass002	Adrienne Joseph Marie (Ad)	Sassen	Ad. Sassen			1906		1942	male
Lodewijk van Deyssel	22 september 1864	Amsterdam	26 januari 1952	Haarlem	https://www.dbnl.org/auteurs/auteur.php?id=deys001	deys001	Lodewijk	van Deyssel	A.J. Bussum/J.H. Meere/K.J.L. Alberdingk Thijm/Lodewijk van Deyssel/van Breull		Amsterdam	1864-09-22	Haarlem	1/26/1952	male
Jan Thorn-Prikker	5 juni 1868	Den Haag	5 maart 1932	Keulen	https://www.dbnl.org/auteurs/auteur.php?id=thor005	thor005	Johan	Thorn-Prikker	Jan Thorn-Prikker	schilder	Den Haag	1868-06-05	Keulen	3/5/1932	male
Alfons Olterdissen	1865	Maastricht?	1923		https://www.dbnl.org/auteurs/auteur.php?id=olte001	olte001	Alfons	Olterdissen	Alfons Olterdissen		Maastricht	1865		1923	male
G.D. Franquinet	1 mei 1826	Maastricht	29 januari 1900	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=fran023	fran023	Guillaume Désiré Lambert (Wilhelmus Désiré)	Franquinet	G.D. Franquinet	advocaat/archeoloog/jurist/historicus	Maastricht	1826-05-01	Maastricht	1/29/1900	male
E. Jaspar	17 oktober 1872	Maastricht	7 augustus 1946		https://www.dbnl.org/auteurs/auteur.php?id=jasp002	jasp002	Edmond Jacques Hubert	Jaspar	E. Jaspar	advocaat/jurist	Maastricht	1872-10-17		8/7/1946	male
Laurent Polis	11 oktober 1845	Maastricht	1 augustus 1915	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=poli001	poli001	Joseph Laurent Hubert	Polis	Laurent Polis		Maastricht	1845-10-11	Maastricht	8/1/1915	male
G.H. Weustink	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=weus003	weus003	G.H.	Weustink	G.H. Weustink			18xx			male
P. Hendrix	25 januari 1896	Halsteren	18 maart 1979	Dordrecht	https://www.dbnl.org/auteurs/auteur.php?id=hend038	hend038	Petrus Johannes Gerardus Antonius	Hendrix	P. Hendrix	leraar/classicus/docent/hoogleraar	Halsteren	1896-01-25	Dordrecht	3/18/1979	male
M. Revis	6 augustus 1904	Zeist	16 maart 1973	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=revi002	revi002	Willem	Revis	M. Revis/W. Visser		Zeist	8/6/1904	Amsterdam	3/16/1973	male
A. van Domburg	9 januari 1895		21 juni 1983		https://www.dbnl.org/auteurs/auteur.php?id=domb002	domb002	Adrianus Johannes Petrus	van Domburg	A. van Domburg/Close up	journalist/leraar/redacteur/hoogleraar/docent	Oud Gastel	1895-01-09	Eindhoven	6/21/1983	male
Jan H. de Groot	13 maart 1901	Alkmaar	1 december 1990	Zeist	https://www.dbnl.org/auteurs/auteur.php?id=groo015	groo015	Jan Hendrik	de Groot	Jan H. de Groot/Mutsaert/Sikkema	redacteur/journalist	Alkmaar	3/13/1901	Zeist	12/1/1990	male
Frans van Oldenburg Ermke	6 februari 1909	Dordrecht	13 oktober 1974	Meerssen	https://www.dbnl.org/auteurs/auteur.php?id=olde002	olde002	Frans	van Oldenburg Ermke	Clazina de Bruyn/Fabianus van de Kluizenaarsbronnen/Fra Antonio Bruno/Franciscus Antonius Brunklaus/Frans Willems/Frans van Oldenburg Ermke/Frans van de Merwede/Halve Tessel d' E./L. Oosterhout/Tessel Erna	redacteur/journalist/vertaler	Dordrecht	2/6/1909	Meerssen	10/13/1974	male
Giovanni Papini	1881		1956		https://www.dbnl.org/auteurs/auteur.php?id=papi001	papi001	Giovanni	Papini	Giovanni Papini			1881		1956	male
Ellen Russe	4 mei 1889		9 september 1942		https://www.dbnl.org/auteurs/auteur.php?id=russ001	russ001	Ellen	Russe	Ellen Russe/Lilian Geraldine van der Velden-Vygh	vertaler/toneelspeler	Zoeterwoude	1889-05-04		9/9/1942	female
Sigmund Freud	6 mei 1856		23 september 1939		https://www.dbnl.org/auteurs/auteur.php?id=freu001	freu001	Sigmund Schlomo	Freud	Sigmund Freud	ps.ther./psychol/zielsverzorger		1856-05-06	Londen	9/23/1939	male
Martin Bruijns	1903	Wisch	1969	Arnhem	https://www.dbnl.org/auteurs/auteur.php?id=bruy019	bruy019	Martinus Wilhelmus Bernardus Marie	Bruijns	Martin Bruijns/Martin Bruyns		Terborg	1903	Arnhem	1969	male
Eric van der Steen	14 september 1907	Alkmaar	3 november 1985	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=stee008	stee008	Eric	van der Steen	Dirk Zijlstra/Eric van der Steen	redacteur/journalist	Alkmaar	9/14/1907	Amsterdam	11/3/1985	male
Leo van Breen	1906	Goes	1988		https://www.dbnl.org/auteurs/auteur.php?id=bree009	bree009	Leo	van Breen	Leo van Breen		Goes	1906		1988	male
Herman Oosterwijk	1902		1960		https://www.dbnl.org/auteurs/auteur.php?id=oost025	oost025	Herman	Oosterwijk	Herman Oosterwijk			1902		1960	male
Martinus Nijhoff	20 april 1894	Den Haag	26 januari 1953	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=nijh004	nijh004	Martinus	Nijhoff	Martinus Nijhoff/Tonia de Bilt	vertaler	Den Haag	1894-04-20	Den Haag	1/26/1953	male
Louis de Bourbon	27 december 1908	Renkum	8 januari 1975	Arnhem	https://www.dbnl.org/auteurs/auteur.php?id=bour001	bour001	Louis Jean Henri Charles Adelberth	de Bourbon	Louis de Bourbon	journalist/redacteur/staatsman/bestuurder/politicus	Renkum	12/27/1908	Arnhem	1/8/1975	male
Berend Kuitert Cz	31 oktober 1817		1891		https://www.dbnl.org/auteurs/auteur.php?id=kuit004	kuit004	Berend	Kuitert Cz	Berend Kuitert Cz	tekenaar/journalist/redacteur/illustrator/beeldend kunstenaar	Groningen	1817-10-31		1891	male
A.C. Ramselaar	1899		1981		https://www.dbnl.org/auteurs/auteur.php?id=rams002	rams002	Antonius Cornelis (Toon)	Ramselaar	A.C. Ramselaar	rk-geestelijke/kloosterling		1899		1981	male
Koos van Doorne	1908		1984		https://www.dbnl.org/auteurs/auteur.php?id=door016	door016	Jacobus	van Doorne	Koos van Doorne			1908		1984	male
Alphons Diepenbrock	2 september 1862	Amsterdam	5 april 1921	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=diep001	diep001	Alphons	Diepenbrock	Alphons Diepenbrock/Philotethes	jongleur/musicus/minstreel	Amsterdam	1862-09-02	Amsterdam	4/5/1921	male
August van Cauwelaert	31 december 1885	O.L. Vrouw-Lombeek	4 juli 1945	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=cauw004	cauw004	August	van Cauwelaert	August van Cauwelaert		Onze-Lieve-Vrouwe-Lombeek	1885-12-31	Antwerpen	7/4/1945	male
Aug. Cuypers	26 september 1899	Amsterdam	16 januari 1996	Leiderdorp	https://www.dbnl.org/auteurs/auteur.php?id=cuyp007	cuyp007	August Alphonsus Maria	Cuypers	Aug. Cuypers	leraar/boekdrukker/hoogleraar/uitgever/docent	Amsterdam	1899-09-26	Leiderdorp	1/16/1996	male
Jan Derks	1912		1963		https://www.dbnl.org/auteurs/auteur.php?id=derk001	derk001	Jan	Derks	Jan Derks			1912		1963	male
Stijn Streuvels	3 oktober 1871	Heule	15 augustus 1969	Ingooigem (Anzegem)	https://www.dbnl.org/auteurs/auteur.php?id=stre009	stre009	Stijn	Streuvels	Frank Lateur/Stijn Streuvels		Heule	1871-10-03	Ingooigem	8/15/1969	male
Paul Vlemminx	1907	Schijndel	1972	Hertogenbosch	https://www.dbnl.org/auteurs/auteur.php?id=vlem001	vlem001	Paul	Vlemminx	Ferdinand Wijnand Smulders/Paul Vlemminx	archeoloog/historicus	Schijndel	1907	Hertogenbosch	1972	male
Franciscus De Smidt	1567	Antwerpen	1659	Lier	https://www.dbnl.org/auteurs/auteur.php?id=smid009	smid009	Franciscus	De Smidt	Franciscus De Smidt	rk-geestelijke/kloosterling	Antwerpen	1567	Lier	1659	male
G.J. Peelen	1905		1966		https://www.dbnl.org/auteurs/auteur.php?id=peel002	peel002	Gerrit Jacob	Peelen	G.J. Peelen			1905		1966	male
Heleen Hoekstra	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=hoek036	hoek036	Heleen	Hoekstra	Heleen Hoekstra			19xx			female
A.P.Th. Sassen	9 september 1844	Roermond	20 januari 1909	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=sass009	sass009	Armand Prosper Theodore	Sassen	A.P.Th. Sassen	advocaat/jurist	Roermond	1844-09-09	Amsterdam	1/20/1909	male
Jos. van Schaveren	1911		2001		https://www.dbnl.org/auteurs/auteur.php?id=scha079	scha079	Jos.	van Schaveren	Jos. van Schaveren			1911		2001	male
Jop Pollmann	1902		1973		https://www.dbnl.org/auteurs/auteur.php?id=poll006	poll006	Josephus Casparus Maria	Pollmann	Jop Pollmann			1902		1973	male
E.Th.J. Brom	20 juli 1862	Amsterdam	24 april 1935	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=brom001	brom001	Eduard Theodorus Joannes	Brom	E.Th.J. Brom		Amsterdam	1862-07-20	Amsterdam	4/24/1935	male
G. Vrijmoed	5 november 1881	Rotterdam	14 december 1963	Delft	https://www.dbnl.org/auteurs/auteur.php?id=vrij009	vrij009	Germanus	Vrijmoed	G. Vrijmoed		Rotterdam	1881-11-05	Delft	12/14/1963	male
Willem Brandt	6 september 1905	Groningen	29 april 1981	Bussum	https://www.dbnl.org/auteurs/auteur.php?id=bran027	bran027	Willem	Brandt	W.S.B. Klooster/Willem Brandt		Groningen	9/6/1905	Bussum	4/29/1981	male
E.H.M. Beekman	ca. 1883	Den Haag	8 december 1950	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=beek023	beek023	Egbert Herman Michael	Beekman	E.H.M. Beekman		Den Haag	ca. -18-3~	Den Haag	12/8/1950	male
H. van Rooijen	22 december 1902	Utrecht	9 november 1987	Amersfoort	https://www.dbnl.org/auteurs/auteur.php?id=rooi010	rooi010	Henricus Leo Maria (Henri)	van Rooijen	H. van Rooijen	archeoloog/historicus	Utrecht	12/22/1902	Amersfoort	11/9/1987	male
C.R. de Klerk	1873	Woubrugge	1953		https://www.dbnl.org/auteurs/auteur.php?id=kler001	kler001	Cornelis	de Klerk	C.R. de Klerk		Woubrugge	1873		1953	male
H.M. van Randwijk	9 november 1909	Gorinchem	13 mei 1966	Purmerend	https://www.dbnl.org/auteurs/auteur.php?id=rand002	rand002	Hendrik Mattheus	van Randwijk	H.M. van Randwijk	redacteur/journalist	Gorinchem	11/9/1909	Purmerend	5/13/1966	male
Carole Vos	1933				https://www.dbnl.org/auteurs/auteur.php?id=vos_006	vos_006	Carole	Vos	Carole Vos/Gertrude Theresia Jozefa Maria Sparla			1933			female
Antoon Coolen	17 april 1897	Wijlre	9 november 1961	Eindhoven	https://www.dbnl.org/auteurs/auteur.php?id=cool004	cool004	Antonius Franciscus	Coolen	Antoon Coolen/De Willer	redacteur/journalist	Wijlre	1897-04-17	Eindhoven	11/9/1961	male
J.H. Newman	21 februari 1801	Londen	11 augustus 1890	Birmingham	https://www.dbnl.org/auteurs/auteur.php?id=newm001	newm001	John Henry	Newman	J.H. Newman	theoloog		1801-02-21		1890-08-11	male
Hendrik de Vries	17 augustus 1896	Groningen	18 november 1989	Haren	https://www.dbnl.org/auteurs/auteur.php?id=vrie024	vrie024	Hendrik	de Vries	Hendrik de Vries	illustrator/tekenaar/beeldend kunstenaar	Groningen	1896-08-17	Haren	11/18/1989	male
Gaston Burssens	18 februari 1896	Dendermonde	29 januari 1965	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=burs002	burs002	Gaston Charles Mathilda	Burssens	Gaston Burssens	schilder/redacteur/journalist	Dendermonde	1896-02-18	Antwerpen	1/29/1965	male
Paul Claudel	6 augustus 1868	Villeneuve-sur-Fère	23 februari 1955	Parijs	https://www.dbnl.org/auteurs/auteur.php?id=clau002	clau002	Paul	Claudel	Paul Claudel			1868-08-06		2/23/1955	male
Michiel de Swaen	20 januari 1654	Duinkerken	3 mei 1707	Duinkerken	https://www.dbnl.org/auteurs/auteur.php?id=swae001	swae001	Michael	de Swaen	Michiel de Swaen	apotheker/medicus	Duinkerken	1654-01-20	Duinkerken	1707-05-03	male
Wouter Paap	7 mei 1908	Utrecht	7 oktober 1981	Lage Vuursche	https://www.dbnl.org/auteurs/auteur.php?id=paap003	paap003	Wouter	Paap	Wouter Paap	jongleur/musicus/minstreel	Utrecht	5/7/1908	Lage Vuursche	10/7/1981	male
David de Kok	1884	Rotterdam	26 januari 1957	Boekel	https://www.dbnl.org/auteurs/auteur.php?id=kok_021	kok_021	David	de Kok	Antoon Abels/Daan van Deurne/David de Kok	rk-geestelijke/jurist/advocaat/kloosterling	Rotterdam	1884	Boekel	1/26/1957	male
J.A.A. Mekel	22 december 1891	Bedum	3 mei 1942	Sachsenhausen	https://www.dbnl.org/auteurs/auteur.php?id=meke002	meke002	J.A.A.	Mekel	J.A.A. Mekel		Bedum	1891-12-22		5/3/1942	male
Felix Rutten	13 juli 1882	Sittard	22 december 1971	Rome	https://www.dbnl.org/auteurs/auteur.php?id=rutt004	rutt004	Felix Jean Joseph Hubert	Rutten	Felix Rutten/W. D'Hoop		Sittard	1882-07-13		12/22/1971	male
Freek van Leeuwen	27 februari 1905	Leiden	9 juni 1968	Leiderdorp	https://www.dbnl.org/auteurs/auteur.php?id=leeu017	leeu017	Freek	van Leeuwen	Freek van Leeuwen	schilder	Leiden	2/27/1905	Leiderdorp	6/9/1968	male
Herluf van Merlet	17 mei 1900	Arnhem	27 januari 1965	Bussum	https://www.dbnl.org/auteurs/auteur.php?id=merl001	merl001	Herluf	van Merlet	Herluf Christiaan Josef Aloysius baron van Lamsweerde/Herluf van Merlet	advocaat/jurist/redacteur/journalist	Arnhem	5/17/1900	Bussum	1/27/1965	male
L.S.J. Hanekroot	1908		1974		https://www.dbnl.org/auteurs/auteur.php?id=hane004	hane004	Leo	Hanekroot	L.S.J. Hanekroot	redacteur/journalist		1908		1974	male
Kees Klap	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=klap001	klap001	Kees	Klap	Kees Klap			19xx			male
C.C. Berg	18 december 1900	Rotterdam	25 juni 1990	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=berg309	berg309	Cornelis Christiaan	Berg	C.C. Berg	letterkundige (NIET-neerl.)/archeoloog/historicus	Rotterdam	12/18/1900	Leiden	6/25/1990	male
Jan Vercammen	7 november 1906	Temse	5 augustus 1984	Brugge	https://www.dbnl.org/auteurs/auteur.php?id=verc002	verc002	Jan	Vercammen	Jan Vercammen/Werner van Waes	onderwijzer (basisschool)/redacteur/journalist	Temse	11/7/1906	Brugge	8/5/1984	male
Jan Gin	1 november 1910	Goes	8 augustus 2003	Enschede	https://www.dbnl.org/auteurs/auteur.php?id=gin_001	gin_001	Jan	Gin	Jan Gin/W.G. Witkam		Goes	11/1/1910	Enschede	8/8/2003	male
F. Bordewijk	10 oktober 1884	Amsterdam	28 april 1965	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=bord001	bord001	Ferdinand	Bordewijk	Emile Mandeau/F. Bordewijk/Ferdinand Johan Wilhelm Christiaan Karel Emil Bordewijk/Ton Ven	leraar/jurist/hoogleraar/docent/advocaat	Amsterdam	1884-10-10	Den Haag	4/28/1965	male
Johan Brouwer	31 mei 1898	Rotterdam	1 juli 1943	Overveen	https://www.dbnl.org/auteurs/auteur.php?id=brou016	brou016	Johannes	Brouwer	Johan Brouwer/Johannes Geerlinck/Maarten van de Moer	letterkundige (NIET-neerl.)/vertaler	Rotterdam	1898-05-31	Overveen	7/1/1943	male
Charles Nypels	31 oktober 1895	Maastricht	3 januari 1952	Groesbeek	https://www.dbnl.org/auteurs/auteur.php?id=nype001	nype001	Charles	Nypels	Charles Nypels	uitgever/boekdrukker	Maastricht	1895-10-31	Groesbeek	1/3/1952	male
Marie Gijsen	21 april 1856	Gouda	20 november 1936	Berlicum	https://www.dbnl.org/auteurs/auteur.php?id=gijs005	gijs005	Egidia Maria Helena Anna	Gijsen	Marie Gijsen		Gouda	1856-04-21	Berlicum	11/20/1936	female
Luc van Hoek	1910		1991		https://www.dbnl.org/auteurs/auteur.php?id=hoek006	hoek006	Luc	van Hoek	Luc van Hoek	illustrator/tekenaar/beeldend kunstenaar		1910		1991	male
Willem Nolet	28 september 1885	Schiedam	31 augustus 1965	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=nole009	nole009	Willem	Nolet	Willem Nolet	rk-geestelijke/kloosterling	Schiedam	1885-09-28	Amsterdam	8/31/1965	male
A.G.W. Severijnen	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=seve022	seve022	A.G.W.	Severijnen	A.G.W. Severijnen			18xx			male
G.W. van der Does	25 november 1894	Arnhem	7 augustus 1972	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=does017	does017	Gerrit Willem	van der Does	G.W. van der Does		Arnhem	1894-11-25	Den Haag	8/7/1972	male
Clara Eggink	18 april 1906	Utrecht	3 maart 1991	Scheveningen	https://www.dbnl.org/auteurs/auteur.php?id=eggi001	eggi001	Clara Hendrika Catharina Clementine Helène	Eggink	Cl. Bloem/Clara Bloem-Eggink/Clara Campert-Eggink/Clara Eggink/Clara Ivens-Eggink	uitgever/boekdrukker/vertaler	Utrecht	4/18/1906	Scheveningen	3/3/1991	female
C.P.M. Romme	21 december 1896	Oirschot	16 oktober 1980	Tilburg	https://www.dbnl.org/auteurs/auteur.php?id=romm002	romm002	Carl Paul Marie (Joep)	Romme	C.P.M. Romme	staatsman/bestuurder/politicus	Oirschot	1896-12-21	Tilburg	10/16/1980	male
J.W.F. Werumeus Buning	4 mei 1891	Velp	16 november 1958	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=weru002	weru002	Johan Willem Frederik	Werumeus Buning	J.W.F. Werumeus Buning/Johan Willem Frederik Werumeus Buning	vertaler/redacteur/journalist	Velp	1891-05-04	Amsterdam	11/16/1958	male
Hubert Cuypers jr.	1898		1970		https://www.dbnl.org/auteurs/auteur.php?id=cuyp043	cuyp043	Hubert	Cuypers jr.	Criton/Hubert Cuypers jr.			1898		1970	male
Jac. van Hattum	10 februari 1900	Wommels	19 augustus 1981	Amstelveen	https://www.dbnl.org/auteurs/auteur.php?id=hatt004	hatt004	Jac.	van Hattum	Jac. van Hattum	onderwijzer (basisschool)	Wommels	2/10/1900	Amstelveen	8/19/1981	male
Renaat de Vos	1907		1980		https://www.dbnl.org/auteurs/auteur.php?id=vos_029	vos_029	Renaat Jan-Baptist (René)	de Vos	Renaat de Vos			1907		1980	male
F.Ph.A. Tellegen	1904		1985		https://www.dbnl.org/auteurs/auteur.php?id=tell002	tell002	Franciscus Philippus Antonius (Frans)	Tellegen	F.Ph.A. Tellegen			1904		1985	male
W.H. Beuken	10 augustus 1898		17 juli 1989		https://www.dbnl.org/auteurs/auteur.php?id=beuk002	beuk002	Willem Hendrik	Beuken	W.H. Beuken	onderwijzer (basisschool)	Valkenburg	1898-08-10	Helmond	7/17/1989	male
Dick Ouwendijk	1907		1990		https://www.dbnl.org/auteurs/auteur.php?id=ouwe002	ouwe002	Dick	Ouwendijk	Dick Ouwendijk			1907		1990	male
Ernest van der Hallen	2 juni 1898	Lier	24 februari 1948	Lier	https://www.dbnl.org/auteurs/auteur.php?id=hall005	hall005	Bernardus Ernestus	van der Hallen	Ernest van der Hallen/J. van den Wijngaerdt		Lier	1898-06-02	Lier	2/24/1948	male
Leo Boekraad	1914	Boskoop	1979		https://www.dbnl.org/auteurs/auteur.php?id=boek011	boek011	Leo	Boekraad	Leo Boekraad		Boskoop	1914		1979	male
Herman Hutte	1917		2000		https://www.dbnl.org/auteurs/auteur.php?id=hutt002	hutt002	Hermanus Albertus	Hutte	Herman Hutte			1917		2000	male
C. van Oosterhout	1899		1969		https://www.dbnl.org/auteurs/auteur.php?id=oost061	oost061	Cornelis Adrianus Christianus	van Oosterhout	C. van Oosterhout			1899		1969	male
Esther Hadassa Weyl	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=weyl002	weyl002	Esther Hadassa	Weyl	Esther Hadassa Weyl			19xx			female
Piet Oomes	20 november 1898		3 december 1984	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=oome001	oome001	Petrus Gerhardus	Oomes	Piet Oomes	leraar/docent/hoogleraar	Hengelo	1898-11-20	Nijmegen	12/3/1984	male
Ben van Eysselsteijn	22 januari 1898	Hellevoetsluis	13 augustus 1973	Sliedrecht	https://www.dbnl.org/auteurs/auteur.php?id=eyss002	eyss002	Ben	van Eysselsteijn	Ben van Eysselsteijn	redacteur/journalist	Hellevoetsluis	1898-01-22	Sliedrecht	8/13/1973	male
Paul de Vree	13 november 1909	Antwerpen	25 april 1982	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=vree002	vree002	Paul	de Vree	Hendrik Storm/Paul de Vree		Antwerpen	11/13/1909	Antwerpen	4/25/1982	male
J.A. van Lieshout	1876		1944		https://www.dbnl.org/auteurs/auteur.php?id=lies009	lies009	Johannes Adrianus	van Lieshout	J.A. van Lieshout	vertaler		1876		1944	male
P.J.H. Vermeeren	11 oktober 1913		2 december 1974		https://www.dbnl.org/auteurs/auteur.php?id=verm009	verm009	Petrus Josephus Henricus	Vermeeren	P. Vermeeren/P.J.H. Vermeeren/Pierre van Valkenhoff	archivaris/bibliothecaris	Maastricht	10/11/1913		12/2/1974	male
Joannes Reddingius	19 juni 1873	Deurne	14 oktober 1944	Bennekom	https://www.dbnl.org/auteurs/auteur.php?id=redd002	redd002	Joannes	Reddingius	Joannes Reddingius	boekhandelaar	Deurne	1873-06-19	Bennekom	10/14/1944	male
Bertus Aafjes	12 mei 1914	Amsterdam	22 april 1993	Swolgen	https://www.dbnl.org/auteurs/auteur.php?id=aafj001	aafj001	Bertus	Aafjes	Bertus Aafjes	vertaler/redacteur/journalist	Amsterdam	5/12/1914	Swolgen	4/22/1993	male
Paul Haimon	20 oktober 1913	Ohe en Laak	11 februari 1996	Mheer	https://www.dbnl.org/auteurs/auteur.php?id=haim001	haim001	Paul	Haimon	L.C.W. Laugs/Paul Haimon	kunsthistoricus/kunsthandelaar/redacteur/journalist	Ohe en Laak	10/20/1913	Mheer	2/11/1996	male
Johan Winkler	6 oktober 1898	Haarlem	27 september 1986	Deventer	https://www.dbnl.org/auteurs/auteur.php?id=wink008	wink008	Johan	Winkler	Johan Winkler	redacteur/journalist	Haarlem	1898-10-06	Deventer	9/27/1986	male
W.C.L. van der Grinten	1913		1994		https://www.dbnl.org/auteurs/auteur.php?id=grin003	grin003	Willem Christiaan Leonard	van der Grinten	W.C.L. van der Grinten	advocaat/jurist		1913		1994	male
K. Steur	23 juni 1905	Volendam	28 juli 1985	Volendam	https://www.dbnl.org/auteurs/auteur.php?id=steu007	steu007	Klaas	Steur	K. Steur	rk-geestelijke/kloosterling	Volendam	6/23/1905	Volendam	7/28/1985	male
Gerth Schreiner	16 september 1892	Laubach	18 mei 1940	Blaricum	https://www.dbnl.org/auteurs/auteur.php?id=schr008	schr008	Otto Wilhelm Ferdinand (Gerth)	Schreiner	Gerth Schreiner	redacteur/journalist/toneelspeler		1892-09-16	Blaricum	5/18/1940	male
